file,project,regime,mode,workers,duration_s,success,package_count,data_file_sha256,gomaxprocs_configured,gomaxprocs_effective,measured_at,seq_s,speedup_vs_seq,efficiency
grpc-go-par-w8-passonly.json,grpc-go,cold,baseline-par,8,129.965106565,True,144,1afa12ee3fa488a0d72c9834f321c3805989e6646cadc799d6021494a1fa7b9d,1,1,2026-07-05T13:39:41.495651019Z,641.503983702,4.935970897551351,0.6169963621939188
grpc-go-par-w8-warm-passonly.json,grpc-go,warm,baseline-par,8,88.484606078,True,144,1afa12ee3fa488a0d72c9834f321c3805989e6646cadc799d6021494a1fa7b9d,1,1,2026-07-05T13:59:13.975718482Z,414.95764114,4.689602627311365,0.5862003284139207
grpc-go-seq-passonly.json,grpc-go,cold,baseline-seq,1,641.503983702,True,144,1afa12ee3fa488a0d72c9834f321c3805989e6646cadc799d6021494a1fa7b9d,1,1,2026-07-05T13:28:49.574327284Z,641.503983702,1.0,1.0
grpc-go-seq-warm-passonly.json,grpc-go,warm,baseline-seq,1,414.95764114,True,144,1afa12ee3fa488a0d72c9834f321c3805989e6646cadc799d6021494a1fa7b9d,1,1,2026-07-05T13:47:54.588561222Z,414.95764114,1.0,1.0
hugo-par-w2-passonly.json,hugo,cold,baseline-par,2,1669.842296839,True,142,5c24af6c0351dcb49713e6a1c2e471fe541664b2d44f95ad882d6b9b4fcfb7a6,1,1,2026-07-05T15:58:22.100928155Z,3294.183653532,1.9727513548841509,0.9863756774420754
hugo-par-w2-warm-passonly.json,hugo,warm,baseline-par,2,151.703124238,True,142,5c24af6c0351dcb49713e6a1c2e471fe541664b2d44f95ad882d6b9b4fcfb7a6,1,1,2026-07-05T16:34:33.64148847Z,297.054692058,1.9581316703271363,0.9790658351635682
hugo-par-w4-passonly.json,hugo,cold,baseline-par,4,872.928812793,True,142,5c24af6c0351dcb49713e6a1c2e471fe541664b2d44f95ad882d6b9b4fcfb7a6,1,1,2026-07-05T16:12:56.210972859Z,3294.183653532,3.773713967570868,0.943428491892717
hugo-par-w4-warm-passonly.json,hugo,warm,baseline-par,4,78.317763097,True,142,5c24af6c0351dcb49713e6a1c2e471fe541664b2d44f95ad882d6b9b4fcfb7a6,1,1,2026-07-05T16:38:48.553394024Z,297.054692058,3.7929414772748897,0.9482353693187224
hugo-par-w8-passonly.json,hugo,cold,baseline-par,8,493.841683929,True,142,5c24af6c0351dcb49713e6a1c2e471fe541664b2d44f95ad882d6b9b4fcfb7a6,1,1,2026-07-05T16:21:11.280061756Z,3294.183653532,6.67052571853292,0.833815714816615
hugo-par-w8-warm-passonly.json,hugo,warm,baseline-par,8,58.517970161,True,142,5c24af6c0351dcb49713e6a1c2e471fe541664b2d44f95ad882d6b9b4fcfb7a6,1,1,2026-07-05T16:42:44.088072113Z,297.054692058,5.076298635115263,0.6345373293894079
hugo-seq-passonly.json,hugo,cold,baseline-seq,1,3294.183653532,True,142,5c24af6c0351dcb49713e6a1c2e471fe541664b2d44f95ad882d6b9b4fcfb7a6,1,1,2026-07-05T15:30:31.092684409Z,3294.183653532,1.0,1.0
hugo-seq-warm-passonly.json,hugo,warm,baseline-seq,1,297.054692058,True,142,5c24af6c0351dcb49713e6a1c2e471fe541664b2d44f95ad882d6b9b4fcfb7a6,1,1,2026-07-05T16:29:06.301738138Z,297.054692058,1.0,1.0
