project,regime,algorithm,workers,reps,median_s,mean_s,std_s,run_cv,planned_s,planned_to_exec_ratio,overhead_us,overhead_share_pct,native_s,seq_s,vs_rr_pct,vs_qty_pct,vs_lpt_pct,vs_native_pct,exec_success_count,exec_error_count,result_dir
cli,cold,FFD-Multifit,2,5,370.980074196,372.791977621,8.278324785,0.022206284689463413,6.963499999,0.01877054991185584,223.42,6.022425880532884e-05,203.172596884,390.765237475,-28.286242090500412,-30.76231458338165,-30.362775239845323,-82.59355832706538,5,0,20260705-183645
cli,cold,LPT,2,5,284.575158448,283.387991349,4.70426762,0.016600095147315422,6.963999999,0.024471566797959005,57.78,2.0303950743669026e-05,203.172596884,390.765237475,1.5928881120584044,-0.3064826924720214,0.0,-40.06571890719901,5,0,20260705-183645
cli,cold,Quantity,2,5,283.705649734,282.597053829,5.157089284,0.018248913830221897,8.621499998,0.030388890760841194,10.72,3.778564159737736e-06,203.172596884,390.765237475,1.8935673483374702,0.0,0.3055462461101957,-39.63775336099081,5,0,20260705-183645
cli,cold,Round-Robin,2,5,289.181496122,289.800071634,7.360751337,0.025399411723735475,8.623499999,0.029820372723163152,20.41,7.057851305738256e-06,203.172596884,390.765237475,0.0,-1.93011538301549,-1.618671741806895,-42.33292311910852,5,0,20260705-183645
cli,cold,FFD-Multifit,4,5,342.800279899,347.357253965,6.674176353,0.019214155676370286,3.482,0.010157517960679348,249.55,7.279749015185328e-05,106.027098188,390.765237475,-46.34412495235539,-43.252989000618484,-46.44137841902164,-223.31383745990104,5,0,20260705-183645
cli,cold,LPT,4,5,234.087034416,236.331506351,4.282058007,0.018118862241923342,3.483,0.014879081230147511,60.54,2.5862175643787838e-05,106.027098188,390.765237475,0.06641119314512933,2.1772462488573563,0.0,-120.78038389858872,5,0,20260705-183645
cli,cold,Quantity,4,5,239.297122029,235.476623139,5.509532832,0.02339736640756805,7.049999998,0.029461282017197107,20.89,8.72973307111833e-06,106.027098188,390.765237475,-2.157816024155393,0.0,-2.2257053347692377,-125.69430468114362,5,0,20260705-183645
cli,cold,Round-Robin,4,5,234.24259772,236.491283872,4.407692256,0.01863786345033184,4.5565,0.019452055451701297,15.01,6.4078865868547455e-06,106.027098188,390.765237475,0.0,2.1122378180492563,-0.06645532692064583,-120.92710422448518,5,0,20260705-183645
cli,cold,FFD-Multifit,8,5,283.332760835,287.782995323,7.415236691,0.025766764581337875,3.019,0.010655315647589822,295.98,0.00010446374048935528,60.149271135,390.765237475,-33.20997657691107,-35.98784490797772,-25.208040556044352,-371.04936683120127,5,0,20260705-183645
cli,cold,LPT,8,5,226.289589372,230.773715714,8.207411551,0.03556475886175669,3.019,0.013341311937408805,65.78,2.9068946646000368e-05,60.149271135,390.765237475,-6.390912265163168,-8.609514456148858,0.0,-276.21335238478946,5,0,20260705-183645
