project,packages,sum_s,mean_s,median_s,std_s,cv,max_s,max_median,p90_s,p95_s,p99_s,unique_values,lt_10ms,lt_100ms,top1_share_pct,top5_share_pct,top10_share_pct,topn50,topn80,topn90,gini,sha256
cli,236,13.926999998,0.0590127118559322,0.0105,0.28536395847479495,4.835635399563645,3.019,287.5238095238095,0.037,0.073125,1.690924999000006,67,109,226,21.67731744405505,64.31392259127075,74.9982049220935,3,23,75,0.8245229665852012,f55c270bf45ca3354683a78b516ffdf60e828dc2aa929aee060e26fa027e9d1b
goreleaser,121,83.103999998,0.686809917338843,0.01,3.5465981944812563,5.163871553024641,34.211,3421.1,0.2855,2.817,14.913599999999969,58,58,98,41.16649018196877,81.28128610130153,94.04120138607146,2,5,8,0.9414643644784664,123a5bb46da9d17cfad7ebf31e3ca74846fd68093ecd52298cd30bea798d733b
grpc-go,144,336.36199999300004,2.3358472221736113,0.077,7.535084895998661,3.2258466326350423,53.143,690.1688311688312,5.528300000000012,13.540449999999984,46.51292499999996,99,48,75,15.799347132287817,53.7471533656484,72.92485477108137,5,14,21,0.8832159127223231,1afa12ee3fa488a0d72c9834f321c3805989e6646cadc799d6021494a1fa7b9d
hugo,142,118.792999999,0.836570422528169,0.039,4.598390623087936,5.496716712971165,49.4185,1267.1410256410256,0.5389500000000002,2.2503249999999864,15.634075000000019,89,43,97,41.60051518222118,80.32038924920087,89.08269005740306,2,5,12,0.9281060331842944,5c24af6c0351dcb49713e6a1c2e471fe541664b2d44f95ad882d6b9b4fcfb7a6
