project,regime,workers,rank,algorithm,median_s,std_s,run_cv,planned_s,native_s,vs_rr_pct,vs_qty_pct,vs_lpt_pct,vs_native_pct,result_dir
goreleaser,cold,2,4,FFD-Multifit,560.434011976,3.224382265,0.005753282679936267,41.551999999,358.030031057,-13.696077560689515,-5.212670443877757,-8.480851146143165,-56.532682557787,20260705-230606
goreleaser,cold,4,1,Round-Robin,445.37535076,4.20625154,0.009417699800368473,55.3195,186.66343528,0.0,5.45095557172386,5.872043964323774,-138.59806827830283,20260705-230606
goreleaser,cold,4,2,Quantity,471.052196723,2.414032631,0.005119564029125476,47.799,186.66343528,-5.765214873069283,0.0,0.44536504323885406,-152.35375959753955,20260705-230606
goreleaser,cold,4,3,LPT,473.159483662,3.253232293,0.0068745668981028815,34.211,186.66343528,-6.238363406189509,-0.44735741679158014,0.0,-153.48268285765155,20260705-230606
goreleaser,cold,4,4,FFD-Multifit,499.873319002,4.0314616,0.008036409448357918,34.211,186.66343528,-12.236413207197765,-6.118456187977005,-5.645841679691017,-167.79391381722783,20260705-230606
goreleaser,cold,8,1,LPT,410.50374433,3.490152868,0.008498109569413362,34.211,112.982282705,2.3830181830186463,2.7468727185771407,0.0,-263.3346171645665,20260705-230606
goreleaser,cold,8,2,Round-Robin,420.524929873,3.946251957,0.009410547655725106,34.686,112.982282705,0.0,0.3727369242379082,-2.441192237930981,-272.2043136365042,20260705-230606
goreleaser,cold,8,3,Quantity,422.098245892,2.944767527,0.006969178003514269,40.2565,112.982282705,-0.374131450298357,0.0,-2.8244569561536803,-273.5968470331855,20260705-230606
goreleaser,cold,8,4,FFD-Multifit,501.146720061,2.850611242,0.005700742809065764,34.211,112.982282705,-19.171702902928498,-18.727505962966184,-22.08091326400496,-343.5622188387789,20260705-230606
goreleaser,warm,2,1,LPT,83.744493169,0.508613726,0.006091157883464577,41.553499998,96.171798345,17.151269099033843,24.245658195779107,0.0,12.921984812449027,20260707-140842
goreleaser,warm,2,2,Round-Robin,101.08120216,2.977384151,0.02998898808306165,59.656999999,96.171798345,0.0,8.563063090520476,-20.701909265859168,-5.104826882188843,20260707-140842
goreleaser,warm,2,3,Quantity,110.547450053,2.825109631,0.025253094813467665,70.288499998,96.171798345,-9.364993382267073,0.0,-32.005635080876885,-14.94788696414909,20260707-140842
goreleaser,warm,2,4,FFD-Multifit,116.362591174,2.835067624,0.0247515371525417,41.551999999,96.171798345,-15.11793358948314,-5.260312307712237,-38.94954374990996,-20.994504809579375,20260707-140842
goreleaser,warm,4,1,LPT,59.824616648,0.521124467,0.008744697736292457,34.211,48.927685961,17.96144386846127,14.180858981741059,0.0,-22.271502264966887,20260707-140842
goreleaser,warm,4,2,Quantity,69.710108885,1.480695736,0.020902848935194642,47.799,48.927685961,4.405293320188154,0.0,-16.5241213247799,-42.475793644861014,20260707-140842
goreleaser,warm,4,3,Round-Robin,72.922561621,2.062296627,0.02774779466329275,55.3195,48.927685961,0.0,-4.608302565270055,-21.89390539694812,-49.041509298286016,20260707-140842
goreleaser,warm,4,4,FFD-Multifit,88.946687736,0.305424532,0.0034399621236871473,34.211,48.927685961,-21.97416788274951,-27.595106590257057,-48.679076807713365,-81.79214076647511,20260707-140842
goreleaser,warm,8,1,LPT,35.549038232,0.502581324,0.014022305848683275,34.211,41.822685381,26.612366431820504,25.414214047290212,0.0,15.000584232809953,20260707-140842
goreleaser,warm,8,2,Quantity,47.661947619,0.761662239,0.016005162321812105,40.2565,41.822685381,1.6064084721048117,0.0,-34.07380336972488,-13.961949561117311,20260707-140842
goreleaser,warm,8,3,Round-Robin,48.440093383,0.627426873,0.012899232513349096,34.686,41.822685381,0.0,-1.6326352632929197,-36.262739562377014,-15.822532536388204,20260707-140842
goreleaser,warm,8,4,FFD-Multifit,89.272266039,0.525386724,0.005878450531530722,34.211,41.822685381,-84.29416585379667,-87.3030173937173,-151.1242792460141,-113.45417020867889,20260707-140842
grpc-go,cold,2,1,LPT,377.628131725,8.870810633,0.023195141973989253,168.181999995,323.376258063,16.965544222837785,6.139053222328265,0.0,-16.776702775573167,20260706-070547
grpc-go,cold,2,2,Quantity,402.327213489,7.08706338,0.01764801605605084,170.639499998,323.376258063,11.534606641198932,0.0,-6.540583099880538,-24.414580061910037,20260706-070547
grpc-go,cold,2,3,FFD-Multifit,449.858046217,12.591400355,0.027943765754933576,168.180999999,323.376258063,1.0833279979041235,-11.813974082391905,-19.127259974529636,-39.11288630514081,20260706-070547
grpc-go,cold,2,4,Round-Robin,454.784857913,4.395778144,0.009641016511507257,245.461999997,323.376258063,0.0,-13.038552368626755,-20.431932821198767,-40.63644023748923,20260706-070547
