project,workers,cold_vs_rr_pct,warm_vs_rr_pct,warm_minus_cold_vs_rr,cold_vs_qty_pct,warm_vs_qty_pct,warm_minus_cold_vs_qty
cli,2,1.5928881120584044,3.4525449021856254,1.859656790127221,-0.3064826924720214,-0.9585154047072578,-0.6520327122352364
cli,4,0.06641119314512933,-5.867407635176938,-5.933818828322067,2.1772462488573563,-1.0869376831976425,-3.2641839320549986
cli,8,-6.390912265163168,-43.53645766088096,-37.1455453957178,-8.609514456148858,-40.27496807634513,-31.665453620196274
goreleaser,2,-4.807508753337955,17.151269099033843,21.9587778523718,3.012679811907616,24.245658195779107,21.23297838387149
goreleaser,4,-6.238363406189509,17.96144386846127,24.19980727465078,-0.44735741679158014,14.180858981741059,14.62821639853264
goreleaser,8,2.3830181830186463,26.612366431820504,24.22934824880186,2.7468727185771407,25.414214047290212,22.66734132871307
grpc-go,2,16.965544222837785,26.430036618974427,9.464492396136642,6.139053222328265,4.10084599796922,-2.038207224359045
grpc-go,4,27.85986002512333,47.0959395302736,19.23607950515027,17.424740028104523,30.23909348465373,12.814353456549206
grpc-go,8,29.312655537408087,60.11916620362202,30.806510666213935,12.769398469406823,41.70025235620872,28.9308538868019
hugo,2,-0.9758047374844724,9.519481883739248,10.49528662122372,0.5249242963159839,8.63022199827334,8.105297701957356
hugo,4,-50.682057033061156,22.274022814571993,72.95607984763315,-17.022801501016676,4.22984275767782,21.252644258694495
hugo,8,-26.564845790363705,23.986764263160694,50.5516100535244,6.549553719216915,17.115370117991514,10.565816398774599
